date,open,high,low,close,volume,trade_count,vwap
2023-02-22,399.52,401.13,397.02,398.54,83742293.0,568097.0,398.939363
2023-02-23,401.56,402.2,396.25,400.66,96242399.0,740996.0,399.539795
2023-02-24,395.42,397.25,393.64,396.38,108144871.0,753684.0,395.377676
2023-02-27,399.87,401.29,396.75,397.73,80444736.0,592301.0,398.74887
2023-02-28,397.23,399.28,396.15,396.26,96438567.0,600688.0,397.587043
2023-03-01,395.41,396.69,393.38,394.74,99706823.0,699148.0,394.998211
2023-03-02,392.68,398.69,392.33,397.81,85404726.0,612512.0,395.376373
2023-03-03,399.71,404.45,399.03,404.19,90032260.0,642924.0,402.193907
2023-03-06,405.05,407.45,404.01,404.47,72795946.0,539397.0,405.601533
2023-03-07,404.42,404.67,397.625,398.27,108310596.0,776311.0,400.153357
2023-03-08,398.39,399.71,396.59,398.92,74746632.0,578078.0,398.186276
2023-03-09,399.74,401.48,390.53,391.56,111945322.0,849092.0,395.581285
2023-03-10,390.99,393.16,384.32,385.91,189443810.0,1382948.0,388.153271
2023-03-13,381.81,390.39,380.65,385.36,157748594.0,1390572.0,386.165088
2023-03-14,390.5,393.45,387.05,391.73,149752357.0,1032582.0,390.723432
2023-03-15,385.89,389.49,383.71,389.28,172976539.0,1334145.0,386.723831
2023-03-16,386.82,396.47,386.29,396.11,143753940.0,999801.0,392.935123
2023-03-17,393.22,394.4,388.55,389.99,140069974.0,919378.0,390.746594
2023-03-20,390.8,394.17,390.07,393.74,93055783.0,725425.0,392.564275
2023-03-21,397.24,399.41,395.58,398.91,91524248.0,629617.0,397.454895
2023-03-22,398.73,402.49,392.07,392.11,111746583.0,874190.0,397.986282
2023-03-23,395.09,399.29,390.35,393.17,119351319.0,871935.0,394.846128
2023-03-24,391.841,395.84,389.4,395.75,107684280.0,806051.0,392.872352
2023-03-27,398.12,398.92,395.56,396.49,74010408.0,569544.0,397.047641
2023-03-28,395.77,396.49,393.69,395.6,62871680.0,494862.0,395.150028
2023-03-29,399.925,401.6,398.68,401.35,77497876.0,553838.0,400.203727
2023-03-30,404.09,404.35,401.76,403.7,69840049.0,516344.0,403.277749
2023-03-31,404.66,409.7,404.55,409.39,111956715.0,694257.0,407.434197
2023-04-03,408.85,411.37,408.44,410.95,67391097.0,569791.0,409.98359
2023-04-04,411.62,411.92,407.24,408.67,66601534.0,537050.0,409.142902
2023-04-05,407.91,408.7,405.88,407.6,65200243.0,524249.0,407.224848
2023-04-06,406.77,409.48,405.678,409.19,63743345.0,482110.0,407.996383
2023-04-10,406.61,409.69,405.97,409.61,63681042.0,468057.0,407.832289
2023-04-11,410.26,411.18,408.92,409.72,59297945.0,402951.0,410.065427
2023-04-12,411.87,412.17,407.44,408.05,86420379.0,639356.0,409.703665
2023-04-13,409.18,413.84,407.9922,413.47,85814754.0,566796.0,411.780016
2023-04-14,412.81,415.09,410.06,412.46,78135828.0,592073.0,412.133862
2023-04-17,412.37,413.96,411.085,413.94,66424139.0,477935.0,412.522809
2023-04-18,415.58,415.72,412.7802,414.21,63559997.0,493081.0,414.06363
2023-04-19,412.22,415.08,412.16,414.14,55227330.0,420720.0,413.658114
2023-04-20,411.21,413.7,410.27,411.88,75840359.0,546274.0,411.935504
2023-04-21,412.19,412.68,410.17,412.2,73434638.0,480045.0,411.703492
2023-04-24,411.99,413.07,410.6,412.63,64332095.0,463295.0,412.026933
2023-04-25,410.58,411.16,406.02,406.08,97766721.0,611558.0,408.10173
2023-04-26,406.72,407.84,403.78,404.36,80447049.0,571685.0,405.666106
2023-04-27,407.0,412.69,406.74,412.41,92968369.0,614869.0,410.230423
2023-04-28,411.49,415.94,411.43,415.93,89312589.0,611065.0,414.408081
2023-05-01,415.47,417.62,415.265,415.51,62122254.0,502374.0,416.254411
2023-05-02,414.77,414.82,407.82,410.84,103998484.0,750845.0,410.494823
2023-05-03,411.36,413.87,407.77,408.02,91531769.0,737915.0,410.858464
2023-05-04,406.93,407.27,403.74,405.13,94901863.0,716763.0,405.369131
2023-05-05,408.91,413.72,408.64,412.63,87832433.0,577848.0,411.604143
2023-05-08,412.97,413.24,411.28,412.74,50046768.0,422762.0,412.479657
2023-05-09,411.13,412.09,410.6894,410.93,49220119.0,385994.0,411.300577
2023-05-10,413.88,414.535,408.87,412.85,96142922.0,691578.0,411.955869
2023-05-11,411.95,412.43,409.97,412.13,70157064.0,530526.0,411.350862
2023-05-12,413.42,413.64,409.07,411.59,70441226.0,500185.0,410.98957
2023-05-15,412.22,413.43,410.23,413.01,54289383.0,427865.0,412.048136
2023-05-16,411.86,412.815,410.24,410.25,57705495.0,447536.0,411.425832
2023-05-17,412.35,415.855,410.635,415.23,87286957.0,585039.0,413.86749
2023-05-18,414.9,419.67,414.67,419.23,97177195.0,672492.0,417.252302
